valence,year,acousticness,artists_x,danceability,duration_ms,energy,explicit,id,instrumentalness,key,liveness,loudness,mode,name,popularity,release_date,speechiness,tempo,matched_artist,artists_y,genres
0.581,1948,0.995,['g. m. durrani'],0.6509999999999999,186394,0.106,0,5jousSA1nYcZDOY9zI1t6K,0.183,3,0.141,-12.987,0,Dil Fida Karte Hain,0,1948-12-31,0.184,135.859,rani,rani,['uk pop']
0.735,1968,0.713,['georgie fame'],0.706,189947,0.467,0,1C2K7ouw8OYXVThAnSXID9,0.0,7,0.253,-9.523,1,The Ballad of Bonnie & Clyde,32,1968-09-19,0.0852,107.053,georgie fame,georgie fame,"['british blues', 'british invasion', 'freakbeat', 'merseybeat']"
0.47,1988,0.825,['john hiatt'],0.7020000000000001,287295,0.253,0,559o0Auxo7OjGZguEXmnab,0.0121,7,0.11,-11.898,1,Feels Like Rain,40,1988-08-30,0.0421,140.46200000000002,john hiatt,john hiatt,"['alternative country', 'classic rock', 'country rock', 'folk', 'folk rock', 'heartland rock', 'lilith', 'mellow gold', 'pub rock', 'rock', 'roots rock', 'singer-songwriter', 'soft rock', 'traditional folk']"
0.8109999999999999,1991,0.777,['louis prima'],0.547,187200,0.3,0,0DXm5n7SBxCED9ssTvrx2J,0.0,3,0.0653,-13.973,1,Buona Sera - Remastered,54,1991-01-01,0.107,97.793,louis prima,louis prima,"['adult standards', 'jump blues', 'lounge', 'soul', 'swing', 'vocal jazz']"
0.107,1947,0.942,"['charles william glover', 'eileen farrell', 'charles lichter', 'columbia concert orchestra']",0.309,183987,0.225,0,2PwdoeD6GQTwc5kcybDone,1.46e-06,0,0.246,-14.212,1,The Rose of Tralee - Remastered,0,1947,0.0432,87.68799999999996,charles william glover,charles william glover,[]
0.46,1951,0.909,"['barbara cook', 'jerome courtland', ""original broadway cast of 'flahooley""]",0.5,154040,0.233,0,1pQA3bBc2uQkwONXFNGcII,2.16e-06,0,0.0987,-11.848,1,The World Is Your Balloon,0,1951-01-01,0.0521,136.05200000000002,broadway cast,broadway cast,['broadway']
0.123,2006,0.000335,['saosin'],0.444,195187,0.972,0,4iLRzDTNc3NbTyQ0w5cAOd,0.000192,2,0.356,-4.056,0,Collapse,51,2006-01-01,0.0778,91.381,saosin,saosin,"['metalcore', 'pop punk', 'post-hardcore', 'screamo']"
0.564,1950,0.742,['эрнест хемингуэй'],0.69,102800,0.276,1,0qMH6oMgw1Q8lWPGAGOX0o,0.0,0,0.277,-18.706,1,"Часть 85.3 - За рекой, в тени деревьев",0,1950,0.7929999999999999,84.49700000000001,эрнест хемингуэй,эрнест хемингуэй,[]
0.612,2000,0.0228,['snoop dogg'],0.66,254166,0.76,0,5hHCQ0jbaBDiE5fIKzYf7W,0.0,7,0.32,-4.712,1,Wrong Idea,36,2000,0.289,98.642,snoop dogg,snoop dogg,"['g funk', 'gangster rap', 'hip hop', 'rap', 'west coast rap']"
0.396,1970,0.0863,['tim maia'],0.508,198262,0.34,0,6vgKWE1KV4E7p1Dv75z0kL,0.000325,9,0.262,-11.311,1,Azul Da Cor Do Mar,60,1970-01-05,0.0384,125.519,mø,mø,"['contemporary country', 'deep talent show']"
0.88,1976,0.8640000000000001,['odetta'],0.6409999999999999,134213,0.525,0,2MUsTTGSu6IGcfCLHdtZfM,0.00116,2,0.504,-11.433,1,Hit Or Miss - Live,38,1976-10-08,0.284,94.659,odetta,odetta,"['american folk revival', 'blues', 'folk', 'spirituals', 'traditional blues', 'traditional folk']"
0.23,1934,0.994,['k.c.dey'],0.506,199453,0.101,0,0RNz3BHaAvtcPE1TSYk0Ac,0.888,9,0.109,-18.514,1,Katha Chhilo Aaj Raate,0,1934-12-01,0.038,73.99,c & c music factory,c & c music factory,"['diva house', 'eurodance', 'hip house']"
0.8740000000000001,1995,0.0908,['real mccoy'],0.813,236933,0.882,0,3pEuO9J2MTEmec8kUfYYvl,0.00457,7,0.147,-7.575,1,Another Night,60,1995-03-28,0.0402,125.983,sunny day real estate,sunny day real estate,"['alternative rock', 'emo', 'emo punk', 'indie rock', 'midwest emo', 'modern rock', 'post-hardcore', 'screamo']"
0.0448,1995,0.016,['the smashing pumpkins'],0.362,286320,0.409,0,2yKrGPtIwsiwv5tGTDgpNd,0.742,1,0.354,-14.268,1,Galapogos - Remastered 2012,48,1995,0.0314,120.56,"the choir of trinity college, cambridge","the choir of trinity college, cambridge","['british choir', 'cambridge choir', 'choral']"
0.5920000000000001,1971,0.00677,['the who'],0.388,393960,0.889,0,2gRLTKBMWx4i77eSnQvI1i,0.000233,0,0.0904,-5.686,1,Getting In Tune - New York Record Plant Session 2003 Remix,31,1971-08-14,0.0814,160.719,the the,the the,"['canadian contemporary r&b', 'canadian pop', 'pop']"
0.47,1947,0.989,"['wolfgang amadeus mozart', 'leonard sharrow', 'arturo toscanini']",0.341,236773,0.0976,0,1foIMT5L3AIv1Ng1cC4VN1,0.934,10,0.116,-17.458,1,"Bassoon Concerto in B-Flat Major, K. 191: III. Rondo. Tempo di menuetto",0,1947,0.0381,129.536,wolfgang amadeus mozart,wolfgang amadeus mozart,"['classical', 'classical era']"
0.252,2018,0.6679999999999999,['bad bunny'],0.767,230578,0.379,0,69ZaPBHhRMRDjRpW1ivnOU,0.000145,0,0.217,-10.348,1,Como Antes,70,2018-12-23,0.0385,103.956,bad bunny,bad bunny,"['latin', 'reggaeton', 'trap latino']"
0.353,1983,0.224,['duran duran'],0.333,324427,0.885,0,5GAs1mmMCZKrGXxLuxOVUL,0.0,9,0.0661,-4.805,0,The Seventh Stranger - 2010 Remaster,33,1983-11-21,0.0779,86.194,los ases de durango,los ases de durango,[]
0.8079999999999999,1993,0.032,['wu-tang clan'],0.8170000000000001,291067,0.552,1,1Sgj10byiGzPpI2IrXSFEn,7.17e-06,8,0.826,-10.8,0,Protect Ya Neck,65,1993-11-09,0.386,102.011,wu-tang clan,wu-tang clan,"['east coast hip hop', 'gangster rap', 'hardcore hip hop', 'hip hop', 'rap']"
0.443,1952,0.912,['milton rosenstock'],0.509,220107,0.105,0,1Ri1TQZEiuIvEoG5dOEIYa,5.31e-05,7,0.109,-19.315,0,Just in Time (from Bells Are Ringing) - Vocal,0,1952,0.052,118.329,miltone,miltone,[]
0.887,2010,0.00232,"[""old 97's""]",0.5479999999999999,205387,0.877,0,5Ed2crPH1EuxwI1iUKZlnD,9.49e-06,5,0.223,-5.647,1,"Champaign, Illinois",45,2010-10-12,0.0348,140.063,n. s. krishnan,n. s. krishnan,[]
0.292,1969,0.000168,['led zeppelin'],0.231,401320,0.748,0,3cp4kK4ZWCWXLWaCUvS3Fj,0.00922,2,0.794,-9.289,1,"I Can't Quit You Baby - Live in Paris, 1969",29,1969-01-12,0.0983,144.707,led zeppelin,led zeppelin,"['album rock', 'classic rock', 'hard rock', 'rock']"
0.895,1976,0.3,['peter tosh'],0.7829999999999999,233840,0.632,0,0TQ5nIVC1ILlBnbUl0x2bR,0.00456,7,0.16,-9.726,0,Burial,36,1976,0.0997,154.566,peter tosh,peter tosh,"['dub', 'reggae', 'roots reggae']"
0.464,1935,0.7490000000000001,"['sinclair lewis', 'frank arnold']",0.7140000000000001,222212,0.179,0,7gKE7yEbQQX8ZhMfYx0fXL,0.0,5,0.332,-17.212,0,"Das ist bei uns nicht möglich, Kapitel 58",0,1935,0.949,127.513,harmonica frank,harmonica frank,[]
0.8170000000000001,1955,0.387,['julia lee & her boyfriends'],0.823,136480,0.242,0,6KrQVFrI1NA3T0bjlVCnlH,2.63e-06,3,0.0616,-12.861,1,My Man Stands Out,13,1955-01-01,0.16,80.054,julia lee & her boyfriends,julia lee & her boyfriends,[]
0.468,2016,0.112,['fetty wap'],0.893,176855,0.6459999999999999,1,7s49Um7G06hq2rulrHPsIy,0.0,11,0.104,-5.073,0,Jimmy Choo,53,2016-02-05,0.1,132.97,fetty wap,fetty wap,"['new jersey rap', 'pop rap', 'rap', 'southern hip hop', 'trap']"
0.735,2005,0.245,"['lil wayne', 'robin thicke']",0.684,275267,0.66,1,181I2gMZOSj4P5nB5gehEx,4.93e-06,2,0.296,-6.025,1,Shooter,46,2005-01-01,0.3229999999999999,81.03399999999998,lil ru,lil ru,"['atl hip hop', 'dirty south rap', 'pop rap', 'south carolina hip hop', 'southern hip hop', 'trap']"
0.748,1991,0.8109999999999999,"['jerry garcia', 'david grisman']",0.794,284227,0.273,0,3vZle28ViU8KgFFJN3Y4tA,0.113,9,0.0811,-17.428,0,The Thrill Is Gone,36,1991-08-01,0.0541,104.664,david grisman,david grisman,"['bluegrass', 'instrumental bluegrass', 'jam band', 'jamgrass', 'jazz violin', 'mandolin', 'old-time', 'progressive bluegrass']"
0.949,1960,0.852,['the ventures'],0.488,122933,0.648,0,7B2pUwzvlbNG9D855r9ugf,0.914,5,0.13,-13.252,1,"Walk, Don't Run - Stereo",50,1960-01-01,0.0305,156.35,the jud conlon chorus,the jud conlon chorus,"['disney', 'movie tunes']"
0.038,2009,0.7090000000000001,['the irrepressibles'],0.31,334987,0.484,0,60mItLdFl6xkYc1sAjlZlf,0.247,9,0.125,-6.462999999999999,1,In This Shirt,71,2009-01-01,0.0299,79.863,"the choir of trinity college, cambridge","the choir of trinity college, cambridge","['british choir', 'cambridge choir', 'choral']"
0.799,1945,0.986,['sonny boy williamson i'],0.635,167863,0.198,0,4J57clmIqIlJRe2OGwfZzO,2.48e-05,7,0.0665,-15.152,1,I'm Gonna Catch You Soon,1,1945,0.238,169.328,iam,iam,"['dark trap', 'emo rap', 'pop rap', 'sad rap']"
0.219,1987,0.599,['ricky van shelton'],0.272,182893,0.313,0,7mxbWOkGGGqIlGvX6j6OQt,2.44e-05,0,0.152,-10.462,1,Statue Of A Fool,31,1987,0.0275,74.22800000000002,van cliburn,van cliburn,"['american classical piano', 'classical piano']"
0.246,1997,0.000148,['misfits'],0.412,136667,0.978,0,34v65Mqjr7e2qJUCpsmhJk,0.0,11,0.204,-5.7410000000000005,1,From Hell They Came,37,1997-01-01,0.0667,107.896,mø,mø,"['contemporary country', 'deep talent show']"
0.163,1974,0.782,['richard & linda thompson'],0.586,237253,0.211,0,2tzOYRTumJ4Xll3oF5j5KJ,0.38,0,0.115,-15.764,0,The End Of The Rainbow,20,1974,0.0335,122.553,linda gardner,linda gardner,[]
0.843,1982,0.115,['luther vandross'],0.696,368773,0.6920000000000001,0,5E5oyXCRdZVC3p7G4e5C6h,3.83e-06,7,0.142,-6.774,1,She Loves Me Back,28,1982-09-21,0.0836,112.625,ross,ross,"['dirty south rap', 'gangster rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']"
0.956,1986,0.117,['daryl hall'],0.7929999999999999,236733,0.769,0,34Bxm9x7qKogNbx4wi717e,1.03e-05,4,0.156,-8.134,1,Foolish Pride,31,1986,0.032,106.976,daryl hall,daryl hall,"['album rock', 'classic rock', 'folk rock', 'mellow gold', 'rock', 'soft rock', 'yacht rock']"
0.633,1981,0.0496,['joy division'],0.484,293693,0.962,0,1cjzx1lSvXO42zLAZq1zzP,0.6679999999999999,5,0.116,-5.317,1,Dead Souls - 2007 Remaster,39,1981-10-08,0.0585,116.795,joy division,joy division,"['alternative rock', 'art rock', 'dance rock', 'madchester', 'new wave', 'post-punk', 'rock', 'uk post-punk']"
0.769,1987,0.387,['ernest tubb'],0.636,154333,0.511,0,7GgtarFx3ognXFQooZ3PyW,0.00035,0,0.211,-14.015999999999998,1,Thanks A Lot,39,1987-02-19,0.0389,167.37,"george antheil, ernest gold","george antheil, ernest gold",[]
0.6609999999999999,1927,0.91,['jimmie rodgers'],0.647,184253,0.675,0,3IKJXl9wqTkZBCdrJCNDgp,0.0,3,0.262,-2.985,1,My Little Lady,0,1927,0.0249,91.238,jimmie rodgers,jimmie rodgers,"['appalachian folk', 'folk', 'old-time', 'traditional country', 'traditional folk', 'western swing', 'yodeling']"
0.13,2014,0.0173,['foxing'],0.623,202840,0.6920000000000001,0,5KzuAU7zxcP0bq0CPdRRyr,0.00883,9,0.124,-7.977,1,The Medic,52,2014-05-27,0.0293,104.977,foxing,foxing,"['alternative emo', 'anthem emo', 'emo', 'stl indie']"
0.316,1939,0.892,['arghya sen'],0.343,202133,0.196,0,3f3tf26hsYnyyxdiJKvjjZ,0.00175,10,0.132,-17.38,1,Amay Thnai Tomar Paaye,0,1939-12-01,0.0486,152.097,neeta bardhan sen,neeta bardhan sen,[]
0.2,1948,0.995,['t.k. govindan'],0.258,171640,0.289,0,6aczNyGWSeMrQxmbAIOI6j,0.928,1,0.328,-16.154,1,Neerile,0,1948-12-31,0.109,177.59,k-klass,k-klass,[]
0.479,1972,0.259,['lani hall'],0.601,191347,0.358,0,16zZir5oAN6Q5zAFz0qWyz,0.0737,1,0.105,-15.473,1,Love Song,30,1972-01-01,0.0534,73.345,lani hall,lani hall,[]
0.192,1982,0.778,['bruce springsteen'],0.478,336400,0.0423,0,408tTuSDxIr3zDR90Zmcw2,3.58e-05,6,0.109,-20.078,1,Highway Patrolman,42,1982-09-30,0.0306,104.267,bruce springsteen,bruce springsteen,"['classic rock', 'heartland rock', 'mellow gold', 'permanent wave', 'rock', 'singer-songwriter']"
0.332,1994,0.794,['kenny loggins'],0.327,254533,0.22,0,3fQ5zC4aLynBpXqL8tswID,1.75e-05,9,0.5870000000000001,-14.997,1,Return to Pooh Corner,52,1994-05-20,0.0346,200.337,logg,logg,"['album rock', 'classic rock', 'folk rock', 'mellow gold', 'new wave pop', 'rock', 'soft rock', 'yacht rock']"
0.4270000000000001,1993,0.189,['wu-tang clan'],0.914,257747,0.394,1,7y5zXpTN4J7K0PngQYa655,0.000168,8,0.0982,-10.239,0,Tearz,60,1993-11-09,0.365,91.504,wu-tang clan,wu-tang clan,"['east coast hip hop', 'gangster rap', 'hardcore hip hop', 'hip hop', 'rap']"
0.6829999999999999,2002,0.33,['10cc'],0.4370000000000001,213067,0.557,0,6fkK6FH4jXROo7GMwTR27S,0.0,1,0.248,-8.487,1,The Things We Do For Love,38,2002-01-01,0.102,161.412,1910 fruitgum company,1910 fruitgum company,"['brill building pop', 'bubblegum pop', 'classic garage rock', 'folk rock', 'merseybeat']"
0.056,1947,0.973,"['felix mendelssohn', 'arturo toscanini']",0.205,258907,0.128,0,7dDRFkvDS4wi6cWmznKxpv,0.174,4,0.155,-23.18,1,"A Midsummer Night's Dream, Op. 61: Finale. Allegro di molto",0,1947,0.0419,79.164,arturo patiño,arturo patiño,[]
0.8170000000000001,1980,0.000323,['stiff little fingers'],0.284,215333,0.856,0,5547Pj9VfbPFpcsBUtgzLI,1.13e-05,7,0.0532,-9.118,1,Gotta Gettaway,38,1980,0.0675,191.147,stiff little fingers,stiff little fingers,"['hardcore punk', 'northern irish punk', 'oi', 'pub rock', 'punk', 'ska']"
0.841,2002,0.00215,['system of a down'],0.473,132733,0.994,1,5hjKYe3NOmWx2NVzVAeIGF,0.123,8,0.314,-1.884,1,Fuck the System,60,2002-11-26,0.104,171.435,"the choir of trinity college, cambridge","the choir of trinity college, cambridge","['british choir', 'cambridge choir', 'choral']"
0.879,1956,0.821,['cal tjader'],0.626,179000,0.698,0,7DE8uCbpmpGLEogThpWP7E,0.478,5,0.1369999999999999,-8.95,0,Guarachi Guaro - Instrumental,10,1956-01-01,0.0612,76.232,alt-j,alt-j,"['indie rock', 'modern rock']"
0.122,1960,0.892,['peggy lee'],0.388,177693,0.0792,0,0cP9pSNA1xJb86KL8HTLQ6,0.0,1,0.113,-17.685,1,Let's Call It A Day - Remastered,17,1960-05-01,0.0462,123.65,egg,egg,['indie pop']
0.231,1967,0.701,['leonard cohen'],0.5429999999999999,340560,0.395,0,14CsqOaDkOkrZ49UJLtuOJ,4.24e-05,9,0.0961,-11.396,1,"So Long, Marianne",61,1967-12-27,0.0267,94.872,leonard cohen,leonard cohen,"['canadian singer-songwriter', 'folk', 'folk rock', 'melancholia', 'permanent wave', 'singer-songwriter']"
0.542,1965,0.505,['cher'],0.535,159587,0.491,0,2dTFjXVWDhu2kvXyFXBwYI,0.0,0,0.172,-16.234,0,Needles And Pins,19,1965-10-16,0.0404,130.155,göran söllscher,göran söllscher,"['classical guitar', 'classical performance']"
0.457,2015,0.0889,"['logic', 'big lenbo']",0.736,211573,0.903,1,0KiKfllNTmhImvXVIHqR0z,0.0,10,0.129,-3.235,0,Young Jesus,59,2015-11-13,0.127,95.047,len,len,"['latin', 'reggaeton', 'reggaeton flow', 'trap argentino', 'trap latino']"
0.782,1966,0.523,['the blues magoos'],0.398,135747,0.8640000000000001,0,6cQdZhnwKIeLud5qTD7BuQ,0.0,10,0.0985,-8.199,1,(We Ain't Got) Nothin' Yet,39,1966-01-01,0.0492,148.47,lu,lu,['contemporary country']
0.498,1995,0.0405,['fugazi'],0.273,170440,0.944,0,1GcDh0KNweiK6MueZk33yd,0.145,0,0.677,-7.0360000000000005,1,Bed for the Scraping,35,1995,0.069,175.93900000000005,az,az,"['gruperas inmortales', 'nu-cumbia', 'regional mexican']"
0.279,2007,0.00219,['pierce the veil'],0.4370000000000001,176960,0.979,0,2tr3bmoQBQrLHUYxsg8LpF,2.56e-05,10,0.501,-4.267,1,Drella,41,2007,0.148,89.96,"the choir of trinity college, cambridge","the choir of trinity college, cambridge","['british choir', 'cambridge choir', 'choral']"
0.6609999999999999,1960,0.935,['burl ives'],0.493,109707,0.087,0,3rNkmZR36zdvxdPhnRFDZo,0.127,4,0.111,-15.525,1,Old Blue,7,1960-06-20,0.152,172.60299999999995,burl ives,burl ives,"['adult standards', 'american folk revival']"
0.9,1977,0.263,['queen'],0.863,186853,0.384,0,6t83NA3g6MUhdjEetnyZPT,0.000327,9,0.209,-12.823,1,Who Needs You - Remastered 2011,29,1977-10-28,0.0515,120.646,queen latifah,queen latifah,"['conscious hip hop', 'east coast hip hop', 'hip hop', 'hip pop', 'new jersey rap']"
0.419,2011,0.0225,"['the lonely island', 'michael bolton']",0.7190000000000001,187747,0.7120000000000001,1,3O9nQmCkiA2VUAqQpkJZhD,0.0,8,0.0442,-5.242000000000001,1,Jack Sparrow,59,2011-01-01,0.221,96.997,the jud conlon chorus,the jud conlon chorus,"['disney', 'movie tunes']"
0.748,2002,0.3720000000000001,['bob marley & the wailers'],0.913,237133,0.7240000000000001,0,6ZXmTH4DpP07a2TvHx1EF9,0.000201,0,0.0824,-8.527000000000001,1,Could You Be Loved,65,2002-01-01,0.105,103.33,"the choir of trinity college, cambridge","the choir of trinity college, cambridge","['british choir', 'cambridge choir', 'choral']"
0.377,2013,0.00451,"['nipsey hussle', 'cobby supreme', 'dom kennedy']",0.648,253827,0.6409999999999999,1,4ohNJqDAicClVSgUXyeBP3,0.0,10,0.472,-6.624,0,Checc Me out (feat. Cobby Supreme & Dom Kennedy),51,2013-10-22,0.346,134.004,nipsey hussle,nipsey hussle,"['conscious hip hop', 'gangster rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']"
0.795,1937,0.757,['the 1937 flood'],0.534,161620,0.379,0,259xWr18XBYxqriqkb1x0G,0.0,7,0.1689999999999999,-10.332,1,Abilene,0,1937,0.0388,137.046,the jud conlon chorus,the jud conlon chorus,"['disney', 'movie tunes']"
0.541,1998,0.0155,"['juvenile', 'lil wayne', 'mannie fresh']",0.8740000000000001,265600,0.7140000000000001,1,6o2g1BJvtYQssH84kBYs7y,0.0,7,0.0968,-6.664,1,Back That Azz Up,67,1998-01-01,0.129,95.826,mannie fresh,mannie fresh,"['bounce', 'dirty south rap', 'gangster rap', 'pop rap', 'rap', 'southern hip hop', 'trap']"
0.254,1939,0.987,['billie holiday'],0.499,157360,0.155,0,7fNJr20j06uEQEhwJ4zk87,0.0,5,0.165,-11.409,0,Ghost of Yesterday,3,1939,0.0355,81.169,j. holiday,j. holiday,"['bassline', 'hip pop', 'new jack swing', 'pop r&b', 'pop rap', 'r&b', 'urban contemporary']"
0.406,1952,0.985,['suchitra mitra'],0.438,187547,0.17,0,0EJ3nixqi2s66udCTah1Pt,0.00987,8,0.181,-17.922,1,Aaguner Parashmoni,0,1952-12-01,0.0355,134.733,suchitra mitra,suchitra mitra,['rabindra sangeet']
0.203,2018,0.0709,"['metro boomin', 'offset', 'drake']",0.914,265480,0.5720000000000001,1,156LzfvMNKuXuiot4uzhGD,0.00237,2,0.0599,-8.82,1,No Complaints (feat. Offset & Drake) (Bonus),67,2018-11-06,0.166,123.963,offset,offset,"['atl hip hop', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']"
0.282,2006,0.0545,['audioslave'],0.475,265973,0.8140000000000001,0,0azJGZcBmcLKYpHBpFEdm6,0.000111,2,0.207,-3.772,0,Wide Awake,49,2006-08-29,0.0369,98.164,audioslave,audioslave,"['alternative metal', 'alternative rock', 'modern rock', 'nu metal', 'permanent wave', 'post-grunge', 'rock', 'supergroup']"
0.8140000000000001,1990,0.397,['whitney houston'],0.706,330400,0.695,0,1v432WiNGnjfsdDAjMJrxQ,0.0,8,0.201,-9.459,0,I Belong To You,33,1990-11-04,0.0576,99.3,whitney houston,whitney houston,"['dance pop', 'pop', 'urban contemporary']"
0.939,2010,0.565,['régulo caro'],0.716,183013,0.913,0,0vkWhjZgixnhhvMQjzLa9v,2.09e-06,2,0.0829,-3.112,1,25 de Diciembre,47,2010-12-17,0.0532,113.094,o.c,o.c,"['alternative hip hop', 'boom bap', 'east coast hip hop', 'hardcore hip hop', 'hip hop', 'turntablism']"
0.672,1966,0.103,['the beatles'],0.329,156040,0.6779999999999999,0,3VSuWxZM6x6V3ig5nYtikL,0.168,3,0.843,-7.877999999999999,1,She Said She Said - Remastered 2009,54,1966-08-05,0.0344,106.476,the jud conlon chorus,the jud conlon chorus,"['disney', 'movie tunes']"
0.561,2015,0.0107,"['nora en pure', 'sons of maria']",0.569,349303,0.757,0,2TAtsKHoegZ1mJJCkSPfpo,0.893,2,0.0574,-6.5120000000000005,0,Uruguay - EDX's Dubai Skyline Remix,0,2015-12-14,0.081,121.933,nora en pure,nora en pure,"['deep house', 'deep tropical house', 'electra', 'house', 'pop dance', 'progressive house', 'swiss pop', 'tropical house']"
0.8590000000000001,1989,0.00424,['ll cool j'],0.853,316000,0.483,0,3GwAKTo1XPfd0L7rQB1ZhZ,0.491,1,0.0976,-13.345,0,I'm That Type Of Guy,27,1989-06-09,0.197,119.447,lacy j. dalton,lacy j. dalton,"['classic country pop', 'country']"
0.527,2013,0.000203,['killswitch engage'],0.486,197573,0.959,0,1HlOGL1p6wlpOZatJ2NwFk,0.0259,0,0.173,-3.857,0,In Due Time,54,2013-03-29,0.0485,84.99700000000001,killswitch engage,killswitch engage,"['alternative metal', 'boston metal', 'melodic metalcore', 'metalcore', 'nu metal']"
0.444,1955,0.597,['milt jackson'],0.511,390640,0.259,0,4BTnKCYqQCLtCPizlMrGWR,0.00127,5,0.124,-15.658,1,Opus And Interlude,3,1955-01-01,0.0346,130.50799999999998,milt jackson,milt jackson,"['bebop', 'contemporary post-bop', 'cool jazz', 'hard bop', 'jazz', 'jazz vibraphone', 'soul jazz', 'stride']"
0.914,2010,0.873,['the dreadnoughts'],0.81,119653,0.446,0,7f2vcDjWjVqkENE38q7vxJ,0.0,0,0.442,-6.084,1,Randy Dandy-Oh,45,2010-09-28,0.0669,113.653,the dreadnoughts,the dreadnoughts,"['celtic rock', 'pirate', 'vancouver punk']"
0.797,1956,0.967,['bud powell'],0.337,179973,0.371,0,4NpLLaFrhYLNUa46olr4uu,0.926,0,0.237,-16.942999999999998,1,Hallelujah,8,1956-01-01,0.0349,164.99200000000005,bud powell's modernists,bud powell's modernists,[]
0.584,1985,0.119,['the waterboys'],0.606,302827,0.794,0,15mZo1Kah03g8CTLbSsWrr,7.16e-06,0,0.125,-7.1679999999999975,1,The Whole of the Moon - 2004 Remaster,68,1985-09-16,0.0291,105.813,the jud conlon chorus,the jud conlon chorus,"['disney', 'movie tunes']"
